"","ID","Species","Year","Author","Location","Latitude","Longitude","Data_source_type"
"68","LPD 598","Lynx pardinus",1965,"{IUCN/SSC Cat Specialist Group, 1985 #163}","Doñana National Park, Spain",36.98778,"-6.40667","Secondary source"
"69","LPD 10836","Capra pyrenaica",1966,"{Escós, 2008 #2538}","Tortosa-Beceite, western Spain",40.81667,"0.16667","Journal"
"70","LPD 6952","Larus fuscus",1966,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"71","LPD 6927","Plegadis falcinellus",1966,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"72","LPD 6902","Thalasseus sandvicensis",1966,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"73","LPD 4636","Larus argentatus",1966,"{Bradley, 1986 #515}","Rey Island, Chafarinas Islands",35.18333,"-2.43333","Journal"
"74","LPD 1701","Larus audouinii",1966,"{Bradley, 1986 #515} {Oro, 2001 #1369}","Chafarinas Islands",35.18333,"-2.43333","Journal"
"75","LPD 7069","Spatula clypeata",1967,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"76","LPD 7068","Anas platyrhynchos",1967,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"77","LPD 7067","Anas crecca",1967,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"78","LPD 7066","Mareca penelope",1967,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"79","LPD 6952","Larus fuscus",1967,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"80","LPD 6927","Plegadis falcinellus",1967,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"81","LPD 6926","Ardea purpurea",1967,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"82","LPD 6902","Thalasseus sandvicensis",1967,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"83","LPD 6755","Alca torda",1967,"{Galewski, 2008 #2921}","Delta del Llobregat, Catalunya, Spain",41.31667,"2.15","Secondary source"
"84","LPD 9126","Physeter catodon",1968,"{Vieira, 2009 #2079}","Islands of the Azores Archipelago",37.96667,"-27.21667","Journal"
"85","LPD 8518","Aquila adalberti",1968,"{Ferrer, 2008 #1891} updated with {López-López, 2011 #2497} updated with {Ferrer, 2013 #3466}","Doñana National Park, south-western Spain",37,"-6.5","Journal"
"86","LPD 6952","Larus fuscus",1968,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"87","LPD 6927","Plegadis falcinellus",1968,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"88","LPD 6902","Thalasseus sandvicensis",1968,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"89","LPD 10838","Capra pyrenaica",1969,"{Escós, 2008 #2538}","Gredos, Central Spain",40.3,"-5.08333","Journal"
"90","LPD 10514","Aegypius monachus",1969,"{De la Puente, 2007 #2402}","Balearic islands, Spain",39.78333,"2.81667","Secondary source"
"91","LPD 9126","Physeter catodon",1969,"{Vieira, 2009 #2079}","Islands of the Azores Archipelago",37.96667,"-27.21667","Journal"
"92","LPD 7065","Anser fabalis",1969,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"93","LPD 7064","Anser anser",1969,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"94","LPD 6952","Larus fuscus",1969,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"95","LPD 6927","Plegadis falcinellus",1969,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"96","LPD 6902","Thalasseus sandvicensis",1969,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"97","LPD 10836","Capra pyrenaica",1970,"{Escós, 2008 #2538}","Tortosa-Beceite, western Spain",40.81667,"0.16667","Journal"
"98","LPD 10425","Grus grus",1970,"{Guzmán, 1999 #2369}","Orellana area, Extremadura, Spain",39.03333,"-5.48333","Journal"
