StudyID;Series_ID;Species;Username;Date_created;Data_source_type;Source_year;DOI;Author;Journal;Class;Order;Family;Subspecies;Location;Country;Latitude;Longitude;Accurancy;Protected;System;Units;Method;Year_start;Year_end;Primary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Secondary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Tertiary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fourth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fifth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;
13;13.2;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Las Minas;Spain;3.832.673.341;-16.832.755;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.3;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Esparragal;Spain;NA;NA;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.4;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de Ulea;Spain;381.419;-132.299;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.1;Achondrostoma arcasii;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;4,029,353,339;-1,141,855,074;approx;;Freshwater;CPUE;Electrofishing;2002;2014;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.1;Carassius auratus;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;3,921,141,846;-355,913,517;approx;;Freshwater;CPUE;Electrofishing;2007;2012;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.11;Gobio lozanoi;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;3,955,492,147;-573,336,871;approx;;Freshwater;CPUE;Electrofishing;2001;2013;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.12;Gobio lozanoi;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;3,929,644,998;-1,137,749,269;approx;;Freshwater;CPUE;Electrofishing;2003;2007;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.13;Gobio lozanoi;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;4,039,205,766;-1,291,126,551;approx;;Freshwater;CPUE;Electrofishing;2010;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.14;Luciobarbus guiraonis;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;4,029,353,339;-1,141,855,074;approx;;Freshwater;CPUE;Electrofishing;2002;2014;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
14;14.15;Luciobarbus guiraonis;robertoP;23/3/22;Journal;2020;https://doi.org/10.1016/j.scitotenv.2020.138052;;Science of the Total Environment;Actinopterygii;Cypriniformes;Cyprinidae;;Jucar River Basin;Spain;3,955,492,147;-573,336,871;approx;;Freshwater;CPUE;Electrofishing;2001;2013;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
